Frequency,Dutch Word,English Word
10006772,ik,I
9001167,je,you
7081845,het,the
6792979,de,the
6007618,dat,Which
5657678,is,is
5039260,een,An
4772886,niet,not
3722568,en,and
2941504,van,by
2769802,wat,what
2691355,we,we
2588813,in,in
2456905,ze,they
2329687,hij,he
2321454,te,at
2205527,zijn,to be
2144681,op,on
2126469,maar,but
2044255,er,there
1856605,met,of
1855375,voor,in front of
1846895,die,That
1769182,heb,have
1761825,me,me
1684935,als,as
1493229,was,used to be
1382175,ben,am
1321308,om,to
1258367,dit,this
1224703,mijn,mine
1182865,aan,at
1177214,u,you
1134894,dan,then
1131929,n,n
1129663,naar,nasty
1120838,weet,know
1086524,hier,here
1052236,zo,like this
1044294,jij,you
1042319,kan,can
1020815,geen,no
994553,nog,yet
982006,ja,Yes
972927,hem,it
969831,heeft,has
958539,wel,well
957595,moet,must
941239,wil,want
926997,hebben,to have
887819,goed,good
867675,haar,her
856003,nee,new
803291,hoe,how
792974,nu,now
773738,waar,true
746315,over,about
734375,ook,also
713370,doen,to do
700277,uit,from
692836,zou,would
679718,ga,go
674193,of,or
671794,gaan,to go
669561,bent,are
666821,mij,me
655438,bij,Bee
632609,al,already
602876,ons,U.S
584503,had,had
583350,iets,something
581597,daar,there
580766,jullie,you
569583,gaat,goes
568758,zal,shall
567079,m,m
565918,hebt,have
559616,kom,bowl
557548,waarom,Why
555563,meer,more
516044,deze,this
472658,moeten,should
472001,t,t
470609,laat,leave
468133,kunnen,can
461409,dus,So
448182,jou,you
439193,denk,think
435485,wie,Who
426991,alles,everything
424799,echt,real
418336,doe,do
417203,door,by means of
407083,alleen,alone
401559,s,s
392983,toch,However
383961,zien,see
376436,weg,away
371727,eens,once
359475,man,man
359214,misschien,perhaps
353505,laten,to leave
350946,nooit,never
347555,nou,Well
342913,zei,said
342296,terug,back
341155,oké,Okay
336637,mee,along
329731,niets,nothing
328805,iemand,someone
313150,komt,comes
312964,toen,then
307717,veel,a lot of
305017,even,for a bit
300608,onze,our
295651,gewoon,just
293558,weten,know
291569,komen,come
291351,nodig,required
290275,mensen,people
288727,tot,until
281032,worden,turn into
278585,zeggen,say
278263,tijd,time
276186,weer,again
274544,leven,life
269781,twee,two
266915,net,just
265256,tegen,in return for
258350,maken,to make
257050,uw,your
254035,zeg,say
252830,omdat,because
251543,zit,sit
250695,wordt,is becoming
249724,z,z
247154,hou,keep
243303,kijk,look
243287,heel,all
242654,wij,we
234911,altijd,all the time
233769,mag,allowed
233289,gedaan,done
229213,dood,dead
228323,zeker,Certainly
220034,af,off
215656,jaar,year-old
215211,hun,their
214119,wilde,Savage
213062,dag,day
210925,allemaal,all of them
210824,jouw,your
210552,huis,House
210182,dacht,thought
208207,doet,is doing
207641,vader,father
204817,kunt,can
203442,wacht,wait
198787,zie,see
198443,vrouw,woman
196456,keer,time
195409,andere,Others
195251,zoals,as
193752,zij,she
189986,dank,thanks
189426,anders,different
189089,geef,give
188873,waren,goods
188572,willen,want
187074,zich,himself
185125,bedankt,thanks
184315,één,An
183677,mr,mr
183563,erg,terribly
182672,wilt,want
179721,praten,to talk
179198,spijt,regret
178884,geld,money
178838,kon,could
178658,werk,work
177930,oh,Oh
176789,iedereen,everybody
176777,beter,better
175810,werd,became
174794,moeder,mother
174437,niemand,no one
173290,vinden,find
173184,staat,stands
171287,gezien,seen
171080,niks,nothing
167230,binnen,within
167093,zitten,to sit
165002,zullen,shall
162379,na,after
162225,helpen,help out
161677,wist,knew
159802,vind,find
156685,genoeg,enough
153660,sorry,Sorry
152616,vast,fixed
152602,elkaar,each other
152470,ging,went
151811,uur,o'clock
151070,klaar,finished
150708,hele,whole
149716,neem,take
148031,leuk,nice
147413,natuurlijk,naturally
146723,alle,all
145302,god,God
144655,maak,make
144498,lang,long
142612,kwam,came
141828,graag,with pleasure
141375,hé,Hey
141284,toe,toast
141271,drie,three
140895,zegt,say
140818,bedoel,mean
139507,deed,did
139324,dingen,stuff
138947,maakt,make
138555,alsjeblieft,please
138080,eerste,first
137832,krijgen,to get
135995,zonder,without
135812,steeds,still
134987,hallo,Hey
134284,houden,to hold
134044,vertellen,to tell
133855,ziet,sees
132998,idee,idea
131642,geven,to give
131354,achter,behind
129097,geweest,been
128599,blijven,stay
128515,helemaal,all the way
127879,mooi,Nice
127669,onder,below
126801,kijken,to look
126486,zag,saw
125885,goede,good
125347,naam,name
125032,moest,had to
124084,blijf,stay
123657,kun,can
123520,auto,car
123012,luister,listen
122566,grote,great
122559,lijkt,seems
122260,snel,fast
121243,ooit,ever
120995,vragen,to ask
119519,paar,couple
118956,wanneer,when
118206,want,because
118042,meneer,Sir
117799,nieuwe,new ones
117783,gebeurd,happened
117301,zorgen,to care
117110,vriend,friend
116575,beetje,bit
115945,kinderen,children
115234,gek,freak
114442,hand,hand
113408,vraag,question
113141,laatste,last
111774,geweldig,awesome
111707,hadden,had
110112,zelfs,even
108971,enige,some
108357,bang,anxious
107484,nemen,to take
106665,samen,together
106458,eten,food
106208,o,O
105869,zelf,yourself
104358,hoor,hear
104345,geleden,past
103274,staan,to stand
101957,gevonden,found it
101830,jongen,boy
100712,denken,think
100632,vandaag,Today
99598,denkt,think
99513,beste,Best
98732,gezegd,said
98444,thuis,At home
98156,wereld,world
97813,jongens,boys
97706,heen,to
96085,ken,know
95818,hen,them
95781,eerst,first
94649,eigen,own
94005,zoon,son
93785,gelijk,equal
93577,buiten,Outside
93539,vertel,tell
92943,morgen,tomorrow
92677,meisje,girl
92207,probleem,problem
92100,alsof,as if
91786,geloof,faith
91416,halen,to fetch
91381,familie,family
91190,elke,each
90745,zouden,would
90558,hoop,heap
89831,politie,Police
88242,mannen,men
88083,bijna,almost
87785,vermoord,murdered
87166,eigenlijk,actually
86903,werken,to work
86880,verdomme,damn
86323,horen,to belong
86308,manier,way
86182,zat,sat
86123,vrienden,friends
85303,precies,precisely
84394,kind,child
83925,hè,Hey
83652,kleine,little
83359,begrijp,understand
83099,wou,wish
82928,geeft,gives
82400,orde,order
82085,houdt,holds
81608,verder,further
81010,vroeg,early
80987,stop,Stop
80968,wachten,to wait
80885,rustig,Calm
80392,hoofd,head
80016,krijg,receive
79644,daarom,therefore
79365,gebeurt,happen
79301,soms,sometimes
78650,volgens,according to
78121,dagen,to dawn
77407,vond,found
77203,krijgt,gets
77105,gemaakt,created
77067,kant,side
76674,werkt,works
76371,open,Open
76346,gehad,had
76130,voel,feeling
75855,zaak,matter
75681,blij,pleased
75620,volgende,next one
75591,zoek,Search
75545,kans,opportunity
74852,vanavond,this evening
74744,bel,bubble
74432,probeer,try
73343,zoeken,Search
73245,oude,old
73212,ding,thing
73205,moment,moment
72892,best,best
72407,tussen,between
72264,plaats,Place
72216,pas,pass
72189,gehoord,heard
72124,vijf,five
71375,verteld,told
70421,zet,sets
70022,prima,fine
69889,hulp,staff
69801,stad,city
69293,vindt,finds
68945,brengen,bring
68893,pijn,pain
68519,slecht,bad
68314,geloven,to believe
68306,eruit,out
68121,minuten,minutes
67892,school,school
67744,plan,plan
67705,broer,brother
67661,pak,business suit
67188,jezelf,yourself
67162,hoeveel,How much
66186,kamer,room
65961,betekent,stands for
65936,spreken,speak
65493,juist,correct
65251,heet,hot
65248,soort,kind
64852,haal,get
64809,ergens,somewhere
64780,vier,four
64681,gebruiken,to use
